2017/2/3 2:03:59 保存成功
2017/2/3 14:49:08 程序开始运行
2017/2/4 3:14:01 程序非正常退出！
2017/2/4 3:14:01 原因：Shutdown
2017/2/4 3:14:01 保存成功
2017/2/4 11:53:20 程序开始运行
2017/2/5 2:21:44 程序非正常退出！
2017/2/5 2:21:44 原因：Shutdown
2017/2/5 2:21:44 保存成功
2017/2/5 13:17:47 程序开始运行
2017/2/6 1:57:02 程序非正常退出！
2017/2/6 1:57:02 原因：Shutdown
2017/2/6 1:57:02 保存成功
2017/2/6 14:32:01 程序开始运行
2017/2/7 1:44:22 程序非正常退出！
2017/2/7 1:44:22 原因：Shutdown
2017/2/7 1:44:22 保存成功
2017/2/7 11:45:17 程序开始运行
2017/2/8 3:00:55 程序非正常退出！
2017/2/8 3:00:55 原因：Shutdown
2017/2/8 3:00:55 保存成功
2017/2/8 15:32:54 程序开始运行
2017/2/9 0:22:20 程序异常！
2017/2/9 0:22:21 原因：System.InvalidOperationException: 只能在按下主鼠标按钮时调用 DragMove。
   在 System.Windows.Window.DragMove()
   在 WPFFloatWin.MainWindow.Grid_MouseLeftButtonDown(Object sender, MouseButtonEventArgs e) 位置 C:\Users\Sq\Documents\Visual Studio 2015\Projects\WPFFloatWin\WPFFloatWin\MainWindow.xaml.cs:行号 331
   在 System.Windows.Input.MouseButtonEventArgs.InvokeEventHandler(Delegate genericHandler, Object genericTarget)
   在 System.Windows.RoutedEventArgs.InvokeHandler(Delegate handler, Object target)
   在 System.Windows.RoutedEventHandlerInfo.InvokeHandler(Object target, RoutedEventArgs routedEventArgs)
   在 System.Windows.EventRoute.InvokeHandlersImpl(Object source, RoutedEventArgs args, Boolean reRaised)
   在 System.Windows.UIElement.ReRaiseEventAs(DependencyObject sender, RoutedEventArgs args, RoutedEvent newEvent)
   在 System.Windows.UIElement.OnMouseDownThunk(Object sender, MouseButtonEventArgs e)
   在 System.Windows.Input.MouseButtonEventArgs.InvokeEventHandler(Delegate genericHandler, Object genericTarget)
   在 System.Windows.RoutedEventArgs.InvokeHandler(Delegate handler, Object target)
   在 System.Windows.RoutedEventHandlerInfo.InvokeHandler(Object target, RoutedEventArgs routedEventArgs)
